2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
National Median Total (Location-Based) GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e)
Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Avoided Emissions - Onsite Green Power (Metric Tons CO2e)
Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Avoided Emissions - Offsite Green Power (Metric Tons CO2e),,Avoided Emissions - Offsite Green Power (MtCO2e)
Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power,Percent of Electricity that is Green Power
Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained,Percent of RECs Retained
Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems,Percent of Total Electricity Generated from Onsite Renewable Systems
LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID,LEED US Project ID
Default Values,Default Values,Default Values,Default Values,Default Values,Default Values,Default Values,Default Values,Default Values,Default Values,Default Values
Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values,Temporary Values
Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values - Energy,Estimated Values,Estimated Values,Estimated Values
Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water,Estimated Values - Water
Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has less than 12 full calendar months of data,Alert - Meter has less than 12 full calendar months of data,Alert - Meter has less than 12 full calendar months of data,Alert - Meter has less than 12 full calendar months of data,Alert - Meter has less than 12 full calendar months of data,Alert - Meter has less than 12 full calendar months of data
Alert - Energy Meter has gaps,Alert - Energy Meter has gaps,Alert - Energy Meter has gaps,Alert - Energy Meter has gaps,Alert - Energy Meter has gaps,Alert - Energy Meter has gaps,Alert - Meter has gaps,Alert - Meter has gaps,Alert - Meter has gaps,Alert - Meter has gaps,Alert - Meter has gaps
Alert - Energy Meter has overlaps,Alert - Energy Meter has overlaps,Alert - Energy Meter has overlaps,Alert - Energy Meter has overlaps,Alert - Energy Meter has overlaps,Alert - Energy Meter has overlaps,Alert - Meter has overlaps,Alert - Meter has overlaps,Alert - Meter has overlaps,Alert - Meter has overlaps,Alert - Meter has overlaps
Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics,Alert - Energy - No meters selected for metrics
Alert - Energy Meter has single entry more than 65 days,Alert - Energy Meter has single entry more than 65 days,Alert - Energy Meter has single entry more than 65 days,Alert - Energy Meter has single entry more than 65 days,Alert - Energy Meter has single entry more than 65 days,Alert - Energy Meter has single entry more than 65 days,Alert - Individual monthly meter entry is more than 65 days long,Alert - Individual monthly meter entry is more than 65 days long,Alert - Individual monthly meter entry is more than 65 days long,Alert - Individual monthly meter entry is more than 65 days long,Alert - Individual monthly meter entry is more than 65 days long
Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses,Alert - Property has no uses
